respondent_id,age,county,primary_preference,app_interest,weekend_preference,monthly_activity_budget
53,31,Miami-Dade County,Trips Outside Miami,High,Nighttime,147
54,30,Miami-Dade County,Nightlife,Medium,Both,293
55,31,Miami-Dade County,Fitness,Low,Both,297
56,34,Miami-Dade County,Day Weekend Activities,High,Daytime,256
57,31,Miami-Dade County,Nightlife,High,Both,378
58,33,Miami-Dade County,Fitness,High,Both,243
59,33,Miami-Dade County,Fitness,High,Both,137
60,33,Miami-Dade County,Day Weekend Activities,High,Daytime,348
61,33,Miami-Dade County,Day Weekend Activities,Medium,Daytime,387
62,34,Miami-Dade County,Trips Outside Miami,High,Daytime,137
63,32,Miami-Dade County,Fitness,High,Daytime,367
64,35,Miami-Dade County,Trips Outside Miami,Low,Daytime,184
65,30,Miami-Dade County,Fitness,Medium,Daytime,307
66,33,Miami-Dade County,Fitness,Medium,Daytime,326
67,31,Miami-Dade County,Fitness,High,Both,267
68,33,Miami-Dade County,Trips Outside Miami,Medium,Daytime,162
69,31,Miami-Dade County,Day Weekend Activities,High,Daytime,265
70,35,Miami-Dade County,Beach,High,Both,331
71,35,Miami-Dade County,Beach,High,Both,317
72,35,Miami-Dade County,Trips Outside Miami,Low,Both,263
73,31,Miami-Dade County,Beach,High,Both,363
74,33,Miami-Dade County,Trips Outside Miami,High,Nighttime,289
75,35,Miami-Dade County,Beach,High,Both,383
76,34,Miami-Dade County,Beach,High,Daytime,375
77,31,Miami-Dade County,Beach,Medium,Daytime,176
78,31,Miami-Dade County,Fitness,Medium,Daytime,287
79,33,Miami-Dade County,Day Weekend Activities,Medium,Daytime,216
80,31,Miami-Dade County,Beach,High,Daytime,263
81,31,Miami-Dade County,Fitness,High,Nighttime,155
82,35,Miami-Dade County,Trips Outside Miami,High,Both,366
83,33,Miami-Dade County,Beach,High,Nighttime,221
84,35,Miami-Dade County,Beach,High,Daytime,316
85,35,Miami-Dade County,Nightlife,Medium,Both,104
86,33,Miami-Dade County,Day Weekend Activities,High,Nighttime,369
87,30,Miami-Dade County,Fitness,High,Daytime,146
88,35,Miami-Dade County,Nightlife,High,Nighttime,329
89,34,Miami-Dade County,Day Weekend Activities,High,Daytime,197
90,34,Miami-Dade County,Beach,High,Daytime,152
91,31,Miami-Dade County,Fitness,Low,Both,361
92,34,Miami-Dade County,Trips Outside Miami,Medium,Daytime,89
93,31,Miami-Dade County,Day Weekend Activities,Low,Daytime,290
94,30,Miami-Dade County,Beach,High,Both,231
95,33,Miami-Dade County,Trips Outside Miami,High,Both,84
96,33,Miami-Dade County,Trips Outside Miami,High,Daytime,274
97,33,Miami-Dade County,Fitness,High,Daytime,362
98,34,Miami-Dade County,Fitness,Medium,Daytime,192
99,30,Miami-Dade County,Fitness,High,Nighttime,350
100,34,Miami-Dade County,Day Weekend Activities,High,Daytime,242
101,34,Miami-Dade County,Fitness,High,Daytime,184
102,30,Miami-Dade County,Beach,High,Both,260
103,30,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,123
104,30,Miami-Dade County,Trips Outside Miami,High,Daytime,361
105,30,Miami-Dade County,Beach,High,Nighttime,254
106,33,Miami-Dade County,Trips Outside Miami,High,Nighttime,241
107,32,Miami-Dade County,Fitness,High,Daytime,219
108,32,Miami-Dade County,Trips Outside Miami,Medium,Daytime,211
109,30,Miami-Dade County,Fitness,Low,Both,166
110,32,Miami-Dade County,Beach,Low,Daytime,255
111,32,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,262
112,30,Miami-Dade County,Fitness,High,Daytime,208
113,32,Miami-Dade County,Fitness,Medium,Daytime,325
114,34,Miami-Dade County,Day Weekend Activities,High,Daytime,168
115,31,Miami-Dade County,Day Weekend Activities,High,Daytime,145
116,31,Miami-Dade County,Day Weekend Activities,Medium,Daytime,237
117,30,Miami-Dade County,Day Weekend Activities,High,Daytime,228
118,33,Miami-Dade County,Beach,Low,Both,195
119,30,Miami-Dade County,Fitness,High,Both,293
120,33,Miami-Dade County,Beach,Medium,Both,373
121,31,Miami-Dade County,Fitness,Medium,Both,332
122,30,Miami-Dade County,Nightlife,Low,Daytime,222
123,35,Miami-Dade County,Day Weekend Activities,Medium,Both,329
124,34,Miami-Dade County,Beach,Medium,Daytime,381
125,32,Miami-Dade County,Beach,High,Both,104
126,33,Miami-Dade County,Nightlife,High,Both,356
127,35,Miami-Dade County,Fitness,High,Both,149
128,32,Miami-Dade County,Day Weekend Activities,Medium,Both,192
129,32,Miami-Dade County,Beach,High,Nighttime,191
130,30,Miami-Dade County,Day Weekend Activities,Medium,Daytime,382
131,32,Miami-Dade County,Fitness,High,Daytime,170
132,34,Miami-Dade County,Trips Outside Miami,High,Nighttime,97
133,35,Miami-Dade County,Nightlife,Medium,Daytime,228
134,32,Miami-Dade County,Beach,High,Nighttime,306
135,30,Miami-Dade County,Day Weekend Activities,High,Both,293
136,34,Miami-Dade County,Nightlife,High,Daytime,230
137,31,Miami-Dade County,Day Weekend Activities,Low,Both,271
138,35,Miami-Dade County,Fitness,Medium,Both,119
139,32,Miami-Dade County,Day Weekend Activities,High,Both,321
140,30,Miami-Dade County,Day Weekend Activities,High,Both,217
141,31,Miami-Dade County,Beach,High,Nighttime,259
142,31,Miami-Dade County,Day Weekend Activities,Medium,Both,279
143,33,Miami-Dade County,Nightlife,Medium,Both,282
144,34,Miami-Dade County,Nightlife,High,Daytime,140
145,32,Miami-Dade County,Beach,High,Daytime,271
146,30,Miami-Dade County,Fitness,High,Both,84
147,33,Miami-Dade County,Nightlife,Medium,Daytime,316
148,34,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,260
149,33,Miami-Dade County,Fitness,High,Nighttime,390
150,35,Miami-Dade County,Nightlife,High,Daytime,116
151,34,Miami-Dade County,Trips Outside Miami,High,Nighttime,135
152,34,Miami-Dade County,Beach,Low,Both,316
153,32,Miami-Dade County,Day Weekend Activities,High,Daytime,276
154,34,Miami-Dade County,Beach,Medium,Daytime,152
155,33,Miami-Dade County,Fitness,Medium,Daytime,138
156,34,Miami-Dade County,Beach,High,Daytime,319
157,32,Miami-Dade County,Trips Outside Miami,High,Both,81
158,32,Miami-Dade County,Fitness,High,Daytime,267
159,35,Miami-Dade County,Beach,Medium,Nighttime,386
160,33,Miami-Dade County,Beach,Medium,Daytime,109
161,31,Miami-Dade County,Beach,Medium,Daytime,346
162,31,Miami-Dade County,Nightlife,High,Both,187
163,34,Miami-Dade County,Beach,High,Both,169
164,35,Miami-Dade County,Beach,Low,Daytime,284
165,30,Miami-Dade County,Day Weekend Activities,Medium,Daytime,299
166,34,Miami-Dade County,Beach,High,Daytime,173
167,35,Miami-Dade County,Fitness,Low,Daytime,182
168,33,Miami-Dade County,Beach,Medium,Nighttime,302
169,33,Miami-Dade County,Fitness,Medium,Daytime,265
170,33,Miami-Dade County,Fitness,Medium,Daytime,263
171,33,Miami-Dade County,Beach,Medium,Daytime,241
172,33,Miami-Dade County,Beach,Medium,Both,326
173,35,Miami-Dade County,Nightlife,High,Both,110
174,35,Miami-Dade County,Beach,High,Daytime,131
175,32,Miami-Dade County,Day Weekend Activities,Low,Both,155
176,31,Miami-Dade County,Day Weekend Activities,High,Daytime,357
177,33,Miami-Dade County,Fitness,High,Daytime,119
178,30,Miami-Dade County,Day Weekend Activities,High,Both,180
179,35,Miami-Dade County,Fitness,High,Both,190
180,30,Miami-Dade County,Nightlife,Medium,Both,400
181,30,Miami-Dade County,Fitness,Low,Nighttime,328
182,30,Miami-Dade County,Beach,High,Daytime,270
183,32,Miami-Dade County,Fitness,High,Both,261
184,35,Miami-Dade County,Nightlife,High,Daytime,288
185,30,Miami-Dade County,Beach,Low,Nighttime,101
186,33,Miami-Dade County,Day Weekend Activities,Medium,Daytime,245
187,34,Miami-Dade County,Fitness,High,Nighttime,178
188,30,Miami-Dade County,Day Weekend Activities,Medium,Daytime,287
189,32,Miami-Dade County,Fitness,Low,Daytime,87
190,35,Miami-Dade County,Trips Outside Miami,Medium,Both,269
191,32,Miami-Dade County,Fitness,Low,Daytime,254
192,30,Miami-Dade County,Fitness,High,Nighttime,352
193,35,Miami-Dade County,Fitness,Medium,Daytime,96
194,34,Miami-Dade County,Beach,High,Daytime,169
195,30,Miami-Dade County,Beach,Medium,Daytime,220
196,32,Miami-Dade County,Fitness,Medium,Daytime,224
197,31,Miami-Dade County,Trips Outside Miami,Medium,Both,245
198,33,Miami-Dade County,Beach,Medium,Daytime,157
199,32,Miami-Dade County,Beach,High,Both,341
200,35,Miami-Dade County,Beach,High,Nighttime,242
201,30,Miami-Dade County,Beach,Low,Daytime,93
202,33,Miami-Dade County,Beach,Low,Nighttime,318
203,30,Miami-Dade County,Fitness,High,Nighttime,151
204,35,Miami-Dade County,Fitness,High,Both,222
205,30,Miami-Dade County,Trips Outside Miami,High,Daytime,389
206,31,Miami-Dade County,Nightlife,Medium,Daytime,362
207,33,Miami-Dade County,Beach,Medium,Both,348
208,33,Miami-Dade County,Fitness,High,Both,320
209,35,Miami-Dade County,Day Weekend Activities,High,Both,324
210,31,Miami-Dade County,Beach,Medium,Daytime,242
211,32,Miami-Dade County,Fitness,Medium,Both,139
212,30,Miami-Dade County,Fitness,High,Daytime,85
213,34,Miami-Dade County,Day Weekend Activities,Medium,Daytime,276
214,30,Miami-Dade County,Day Weekend Activities,High,Daytime,137
215,30,Miami-Dade County,Fitness,High,Nighttime,384
216,32,Miami-Dade County,Fitness,Medium,Daytime,296
217,30,Miami-Dade County,Fitness,Medium,Daytime,105
218,31,Miami-Dade County,Day Weekend Activities,Low,Both,382
219,31,Miami-Dade County,Fitness,Medium,Daytime,84
220,33,Miami-Dade County,Fitness,Medium,Daytime,99
221,35,Miami-Dade County,Trips Outside Miami,High,Daytime,277
222,34,Miami-Dade County,Fitness,High,Both,138
223,30,Miami-Dade County,Day Weekend Activities,High,Nighttime,321
224,30,Miami-Dade County,Fitness,High,Daytime,225
225,32,Miami-Dade County,Fitness,Medium,Both,352
226,35,Miami-Dade County,Fitness,Low,Both,328
227,31,Miami-Dade County,Day Weekend Activities,High,Daytime,93
228,34,Miami-Dade County,Trips Outside Miami,High,Nighttime,92
229,33,Miami-Dade County,Trips Outside Miami,Medium,Both,123
230,31,Miami-Dade County,Beach,High,Nighttime,98
231,35,Miami-Dade County,Day Weekend Activities,Medium,Daytime,142
232,33,Miami-Dade County,Fitness,Medium,Both,318
233,32,Miami-Dade County,Fitness,Medium,Nighttime,179
234,32,Miami-Dade County,Trips Outside Miami,High,Daytime,242
235,30,Miami-Dade County,Fitness,High,Daytime,201
236,35,Miami-Dade County,Fitness,Medium,Daytime,123
237,34,Miami-Dade County,Fitness,Medium,Daytime,396
238,33,Miami-Dade County,Fitness,High,Both,224
239,31,Miami-Dade County,Fitness,Medium,Daytime,129
240,35,Miami-Dade County,Day Weekend Activities,High,Daytime,144
241,35,Miami-Dade County,Beach,Medium,Nighttime,367
242,32,Miami-Dade County,Trips Outside Miami,High,Daytime,243
243,30,Miami-Dade County,Trips Outside Miami,Low,Both,220
244,30,Miami-Dade County,Beach,High,Daytime,393
245,33,Miami-Dade County,Fitness,High,Daytime,207
246,32,Miami-Dade County,Beach,High,Daytime,318
247,35,Miami-Dade County,Day Weekend Activities,High,Daytime,375
248,34,Miami-Dade County,Fitness,Low,Daytime,266
249,32,Miami-Dade County,Day Weekend Activities,Low,Both,287
250,33,Miami-Dade County,Beach,High,Both,299
251,33,Miami-Dade County,Beach,High,Daytime,269
252,32,Miami-Dade County,Beach,Medium,Nighttime,363
253,33,Miami-Dade County,Fitness,Low,Both,316
254,32,Miami-Dade County,Nightlife,Medium,Both,273
255,31,Miami-Dade County,Trips Outside Miami,High,Daytime,366
256,32,Miami-Dade County,Fitness,High,Daytime,338
257,32,Miami-Dade County,Trips Outside Miami,Medium,Daytime,325
258,33,Miami-Dade County,Beach,High,Both,215
259,33,Miami-Dade County,Trips Outside Miami,Medium,Both,359
260,30,Miami-Dade County,Trips Outside Miami,High,Daytime,350
261,30,Miami-Dade County,Beach,Medium,Daytime,250
262,31,Miami-Dade County,Fitness,High,Both,238
263,30,Miami-Dade County,Fitness,Medium,Both,280
264,32,Miami-Dade County,Beach,High,Both,124
265,33,Miami-Dade County,Day Weekend Activities,Medium,Both,343
266,30,Miami-Dade County,Fitness,High,Daytime,150
267,30,Miami-Dade County,Fitness,Medium,Nighttime,182
268,31,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,204
269,35,Miami-Dade County,Nightlife,Medium,Daytime,392
270,31,Miami-Dade County,Beach,Medium,Nighttime,365
271,32,Miami-Dade County,Fitness,Medium,Both,309
272,33,Miami-Dade County,Fitness,Medium,Daytime,225
273,31,Miami-Dade County,Fitness,High,Both,276
274,30,Miami-Dade County,Nightlife,Medium,Nighttime,300
275,33,Miami-Dade County,Fitness,High,Both,139
276,33,Miami-Dade County,Day Weekend Activities,High,Daytime,177
277,30,Miami-Dade County,Fitness,High,Daytime,250
278,31,Miami-Dade County,Beach,High,Nighttime,252
279,30,Miami-Dade County,Day Weekend Activities,Medium,Daytime,230
280,35,Miami-Dade County,Trips Outside Miami,Medium,Both,201
281,33,Miami-Dade County,Fitness,Medium,Both,187
282,34,Miami-Dade County,Fitness,High,Daytime,83
283,34,Miami-Dade County,Fitness,High,Nighttime,172
284,32,Miami-Dade County,Nightlife,High,Nighttime,85
285,30,Miami-Dade County,Trips Outside Miami,High,Daytime,367
286,30,Miami-Dade County,Day Weekend Activities,High,Both,185
287,32,Miami-Dade County,Day Weekend Activities,High,Both,225
288,32,Miami-Dade County,Day Weekend Activities,High,Nighttime,350
289,32,Miami-Dade County,Fitness,Medium,Both,175
290,33,Miami-Dade County,Nightlife,Medium,Daytime,308
291,35,Miami-Dade County,Beach,Low,Both,281
292,30,Miami-Dade County,Beach,Low,Nighttime,291
293,33,Miami-Dade County,Beach,Medium,Both,85
294,32,Miami-Dade County,Fitness,High,Both,191
295,30,Miami-Dade County,Fitness,Medium,Daytime,185
296,33,Miami-Dade County,Day Weekend Activities,Medium,Both,218
297,35,Miami-Dade County,Fitness,High,Daytime,378
298,33,Miami-Dade County,Day Weekend Activities,High,Daytime,175
299,35,Miami-Dade County,Fitness,Medium,Daytime,376
300,32,Miami-Dade County,Beach,High,Both,293
301,35,Miami-Dade County,Fitness,Medium,Both,370
302,30,Miami-Dade County,Beach,Medium,Both,101
303,32,Miami-Dade County,Day Weekend Activities,High,Both,272
304,30,Miami-Dade County,Fitness,High,Nighttime,229
305,34,Miami-Dade County,Beach,High,Both,326
306,31,Miami-Dade County,Beach,High,Daytime,346
307,35,Miami-Dade County,Day Weekend Activities,High,Daytime,330
308,31,Miami-Dade County,Nightlife,Medium,Daytime,82
309,31,Miami-Dade County,Day Weekend Activities,High,Both,395
310,35,Miami-Dade County,Fitness,High,Both,155
311,32,Miami-Dade County,Fitness,High,Daytime,166
312,34,Miami-Dade County,Fitness,Low,Daytime,349
313,30,Miami-Dade County,Day Weekend Activities,High,Both,304
314,33,Miami-Dade County,Fitness,High,Daytime,97
315,30,Miami-Dade County,Beach,Low,Both,192
316,33,Miami-Dade County,Day Weekend Activities,Medium,Both,330
317,30,Miami-Dade County,Beach,High,Daytime,312
318,35,Miami-Dade County,Trips Outside Miami,Medium,Daytime,358
319,34,Miami-Dade County,Fitness,High,Both,281
320,33,Miami-Dade County,Fitness,High,Both,162
321,32,Miami-Dade County,Day Weekend Activities,High,Nighttime,204
322,30,Miami-Dade County,Beach,High,Both,254
323,30,Miami-Dade County,Day Weekend Activities,Medium,Daytime,148
324,33,Miami-Dade County,Beach,High,Nighttime,126
325,32,Miami-Dade County,Fitness,High,Both,335
326,32,Miami-Dade County,Trips Outside Miami,Medium,Both,294
327,35,Miami-Dade County,Trips Outside Miami,Medium,Daytime,109
328,35,Miami-Dade County,Day Weekend Activities,High,Both,360
329,35,Miami-Dade County,Fitness,Medium,Nighttime,316
330,35,Miami-Dade County,Day Weekend Activities,High,Daytime,327
331,35,Miami-Dade County,Beach,Medium,Daytime,104
332,35,Miami-Dade County,Fitness,Medium,Both,153
333,34,Miami-Dade County,Nightlife,Low,Daytime,285
334,32,Miami-Dade County,Fitness,High,Daytime,393
335,35,Miami-Dade County,Nightlife,High,Daytime,173
336,32,Miami-Dade County,Beach,High,Both,206
337,32,Miami-Dade County,Fitness,High,Nighttime,104
338,31,Miami-Dade County,Beach,High,Both,195
339,34,Miami-Dade County,Trips Outside Miami,Low,Daytime,127
340,35,Miami-Dade County,Day Weekend Activities,High,Nighttime,305
341,30,Miami-Dade County,Trips Outside Miami,High,Nighttime,345
342,33,Miami-Dade County,Day Weekend Activities,Medium,Both,178
343,30,Miami-Dade County,Day Weekend Activities,High,Both,90
344,34,Miami-Dade County,Trips Outside Miami,Medium,Daytime,164
345,33,Miami-Dade County,Fitness,High,Nighttime,293
346,34,Miami-Dade County,Beach,High,Daytime,252
347,32,Miami-Dade County,Fitness,High,Nighttime,288
348,33,Miami-Dade County,Nightlife,High,Daytime,143
349,32,Miami-Dade County,Nightlife,Low,Daytime,337
350,30,Miami-Dade County,Fitness,High,Daytime,200
351,30,Miami-Dade County,Day Weekend Activities,High,Nighttime,377
352,33,Miami-Dade County,Nightlife,High,Daytime,133
353,33,Miami-Dade County,Fitness,High,Both,351
354,35,Miami-Dade County,Beach,Low,Daytime,320
355,34,Miami-Dade County,Nightlife,High,Daytime,322
356,35,Miami-Dade County,Fitness,Medium,Both,97
357,34,Miami-Dade County,Day Weekend Activities,Low,Daytime,266
358,35,Miami-Dade County,Fitness,Medium,Daytime,223
359,32,Miami-Dade County,Nightlife,Low,Nighttime,341
360,33,Miami-Dade County,Nightlife,High,Daytime,318
361,30,Miami-Dade County,Nightlife,High,Daytime,383
362,34,Miami-Dade County,Beach,High,Daytime,377
363,34,Miami-Dade County,Trips Outside Miami,Medium,Both,155
364,30,Miami-Dade County,Trips Outside Miami,Low,Nighttime,267
365,35,Miami-Dade County,Fitness,High,Nighttime,325
366,34,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,209
367,32,Miami-Dade County,Fitness,High,Daytime,394
368,33,Miami-Dade County,Day Weekend Activities,Medium,Daytime,362
369,30,Miami-Dade County,Fitness,High,Both,158
370,33,Miami-Dade County,Fitness,Low,Daytime,151
371,34,Miami-Dade County,Fitness,Medium,Daytime,342
372,34,Miami-Dade County,Day Weekend Activities,High,Daytime,270
373,30,Miami-Dade County,Beach,High,Daytime,142
374,32,Miami-Dade County,Day Weekend Activities,High,Both,91
375,31,Miami-Dade County,Fitness,High,Daytime,220
376,30,Miami-Dade County,Fitness,High,Nighttime,333
377,31,Miami-Dade County,Beach,Low,Daytime,122
378,35,Miami-Dade County,Trips Outside Miami,Medium,Both,96
379,31,Miami-Dade County,Fitness,High,Daytime,142
380,32,Miami-Dade County,Day Weekend Activities,High,Daytime,332
381,35,Miami-Dade County,Trips Outside Miami,Low,Both,371
382,31,Miami-Dade County,Day Weekend Activities,Medium,Both,87
383,35,Miami-Dade County,Fitness,High,Daytime,169
384,31,Miami-Dade County,Fitness,Medium,Daytime,287
385,32,Miami-Dade County,Trips Outside Miami,High,Daytime,371
386,31,Miami-Dade County,Fitness,High,Daytime,363
387,31,Miami-Dade County,Trips Outside Miami,High,Daytime,197
388,31,Miami-Dade County,Beach,High,Daytime,254
389,30,Miami-Dade County,Nightlife,High,Daytime,155
390,30,Miami-Dade County,Trips Outside Miami,Low,Daytime,180
391,30,Miami-Dade County,Nightlife,Medium,Nighttime,230
392,32,Miami-Dade County,Beach,Medium,Both,349
393,35,Miami-Dade County,Trips Outside Miami,High,Nighttime,150
394,34,Miami-Dade County,Beach,High,Daytime,259
395,31,Miami-Dade County,Beach,Medium,Daytime,203
396,31,Miami-Dade County,Day Weekend Activities,High,Both,372
397,32,Miami-Dade County,Trips Outside Miami,High,Daytime,364
398,31,Miami-Dade County,Nightlife,High,Daytime,274
399,30,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,307
400,34,Miami-Dade County,Beach,High,Nighttime,354
401,33,Miami-Dade County,Beach,High,Nighttime,185
402,31,Miami-Dade County,Day Weekend Activities,Medium,Daytime,100
403,30,Miami-Dade County,Fitness,High,Daytime,143
404,33,Miami-Dade County,Fitness,High,Both,244
405,34,Miami-Dade County,Beach,High,Daytime,106
406,33,Miami-Dade County,Fitness,High,Nighttime,390
407,30,Miami-Dade County,Fitness,Medium,Both,364
408,35,Miami-Dade County,Fitness,High,Nighttime,227
409,35,Miami-Dade County,Fitness,High,Daytime,360
410,33,Miami-Dade County,Fitness,Low,Daytime,398
411,32,Miami-Dade County,Nightlife,Low,Nighttime,243
412,33,Miami-Dade County,Beach,Low,Both,303
413,31,Miami-Dade County,Beach,High,Both,351
414,31,Miami-Dade County,Day Weekend Activities,High,Daytime,225
415,35,Miami-Dade County,Fitness,Low,Daytime,109
416,32,Miami-Dade County,Nightlife,Medium,Both,124
417,30,Miami-Dade County,Trips Outside Miami,High,Both,354
418,31,Miami-Dade County,Fitness,High,Both,113
419,35,Miami-Dade County,Beach,High,Daytime,220
420,34,Miami-Dade County,Trips Outside Miami,Low,Nighttime,397
421,35,Miami-Dade County,Nightlife,High,Both,300
422,31,Miami-Dade County,Beach,High,Nighttime,101
423,31,Miami-Dade County,Day Weekend Activities,High,Daytime,259
424,35,Miami-Dade County,Fitness,Medium,Daytime,310
425,30,Miami-Dade County,Nightlife,Medium,Nighttime,117
426,33,Miami-Dade County,Fitness,High,Daytime,149
427,31,Miami-Dade County,Nightlife,Medium,Daytime,195
428,35,Miami-Dade County,Day Weekend Activities,Low,Both,318
429,35,Miami-Dade County,Day Weekend Activities,High,Daytime,227
430,32,Miami-Dade County,Beach,High,Both,88
431,33,Miami-Dade County,Fitness,High,Daytime,367
432,34,Miami-Dade County,Fitness,Medium,Nighttime,129
433,30,Miami-Dade County,Fitness,Medium,Both,84
434,34,Miami-Dade County,Fitness,Medium,Daytime,205
435,33,Miami-Dade County,Trips Outside Miami,Medium,Daytime,154
436,33,Miami-Dade County,Beach,High,Daytime,244
437,33,Miami-Dade County,Fitness,Low,Daytime,357
438,34,Miami-Dade County,Nightlife,High,Both,379
439,33,Miami-Dade County,Trips Outside Miami,High,Both,369
440,35,Miami-Dade County,Nightlife,Medium,Daytime,156
441,34,Miami-Dade County,Nightlife,Medium,Daytime,377
442,33,Miami-Dade County,Fitness,High,Daytime,216
443,35,Miami-Dade County,Beach,Low,Both,185
444,32,Miami-Dade County,Day Weekend Activities,Low,Daytime,174
445,33,Miami-Dade County,Day Weekend Activities,High,Nighttime,214
446,34,Miami-Dade County,Fitness,Low,Nighttime,147
447,31,Miami-Dade County,Trips Outside Miami,High,Nighttime,226
448,33,Miami-Dade County,Fitness,High,Daytime,238
449,31,Miami-Dade County,Fitness,High,Both,242
450,35,Miami-Dade County,Beach,Low,Daytime,268
451,32,Miami-Dade County,Day Weekend Activities,Medium,Daytime,174
452,30,Miami-Dade County,Day Weekend Activities,High,Both,260
453,32,Miami-Dade County,Fitness,High,Both,367
454,33,Miami-Dade County,Trips Outside Miami,Medium,Daytime,266
455,31,Miami-Dade County,Fitness,High,Daytime,217
456,31,Miami-Dade County,Fitness,Low,Daytime,209
457,34,Miami-Dade County,Trips Outside Miami,Medium,Daytime,273
458,31,Miami-Dade County,Nightlife,High,Daytime,395
459,34,Miami-Dade County,Trips Outside Miami,Low,Daytime,352
460,35,Miami-Dade County,Trips Outside Miami,High,Daytime,223
461,30,Miami-Dade County,Day Weekend Activities,Low,Both,95
462,33,Miami-Dade County,Beach,Medium,Nighttime,381
463,34,Miami-Dade County,Fitness,Medium,Nighttime,324
464,30,Miami-Dade County,Beach,High,Daytime,186
465,31,Miami-Dade County,Beach,Low,Both,167
466,31,Miami-Dade County,Fitness,High,Both,208
467,30,Miami-Dade County,Day Weekend Activities,High,Both,83
468,31,Miami-Dade County,Beach,High,Both,385
469,35,Miami-Dade County,Fitness,Medium,Both,174
470,35,Miami-Dade County,Fitness,High,Nighttime,288
471,30,Miami-Dade County,Day Weekend Activities,Medium,Daytime,304
472,34,Miami-Dade County,Fitness,Low,Nighttime,400
473,34,Miami-Dade County,Trips Outside Miami,High,Both,126
474,30,Miami-Dade County,Beach,Medium,Both,260
475,34,Miami-Dade County,Beach,High,Nighttime,185
476,34,Miami-Dade County,Day Weekend Activities,Low,Daytime,278
477,35,Miami-Dade County,Trips Outside Miami,Medium,Daytime,185
478,34,Miami-Dade County,Beach,High,Both,359
479,32,Miami-Dade County,Day Weekend Activities,Medium,Nighttime,339
480,33,Miami-Dade County,Beach,High,Nighttime,187
481,31,Miami-Dade County,Fitness,High,Daytime,98
482,32,Miami-Dade County,Trips Outside Miami,Medium,Daytime,375
483,34,Miami-Dade County,Trips Outside Miami,High,Both,385
